A1 Nouns,A1 Verbs,A1 Adjectives,A1 Adverbs & Others,A2 Nouns,A2 Verbs,A2 Adjectives,A2 Adverbs & Others,B1 Nouns (Complete),B1 Verbs,B1 Adjectives,B1 Adverbs & Others,B2 Nouns,B2 Verbs,B2 Adjectives (A-Z)
,,,,pan,,technological,,fact,,technical,,Controller,endorse,hot
,,,,panel,,temporary,,factor,,technological,,Controversy,endow,huge
,,,,panic,,tender,,factory,,temporary,,Convenience,endure,human
,,,,paper,,terrible,,faculty,,tender,,Convention,enforce,humane
,,,,paragraph,,terrific,,failure,,terrible,,Convergence,engage,humanitarian
,,,,parent,,terrifying,,fair,,terrific,,Conversation,engineer,humble
,,,,park,,thermal,,faith,,terrifying,,Conversion,engrave,humid
,,,,parking,,thick,,fall,,thermal,,Convert,engulf,humorous
,,,,parliament,,thin,,fame,,thick,,Conviction,enhance,hungry
,,,,part,,thirsty,,family,,thin,,Cook,enjoy,hurried
,,,,partner,,thorough,,fan,,thirsty,,Cooker,enlarge,hurt
,,,,partnership,,thoughtful,,fantasy,,thorough,,Cookie,enlighten,hurtful
,,,,party,,tidy,,fare,,thoughtful,,Cooking,enlist,hybrid
,,,,passage,,tight,,farm,,tidy,,Cool,enquire,hygienic
,,,,passenger,,tiny,,farmer,,tight,,Cooperation,enrich,hypothetical
,,,,passion,,tired,,farming,,tiny,,Cooperative,enroll,hysterical
,,,,passport,,tiresome,,fashion,,tired,,Coordination,ensure,icy
,,,,password,,tiring,,fate,,tiresome,,Coordinator,entail,ideal
,,,,past,,total,,father,,tiring,,Copper,enter,identical
,,,,path,,tough,,fault,,total,,Copy,entertain,ideological
,,,,patient,,traditional,,favor,,tough,,Copyright,entitle,idle
,,,,pattern,,tragic,,favorite,,traditional,,Cord,entrust,ignorant
,,,,pay,,trained,,fear,,tragic,,Core,enumerate,illegal
,,,,payment,,transparent,,feast,,trained,,Cork,envelop,illiterate
,,,,peace,,tricky,,feather,,transparent,,Corn,envision,illogical
,,,,pen,,triple,,feature,,tricky,,Corner,envy,illuminated
,,,,pencil,,tropical,,federation,,triple,,Corporate,equate,illusory
,,,,penny,,TRUE,,feedback,,tropical,,Corporation,equip,imaginative
,,,,pension,,typical,,feeling,,TRUE,,Correction,erase,imaginary
,,,,people,,ugly,,fellow,,typical,,Correlation,erect,immediate
,,,,pepper,,ultimate,,female,,ugly,,Correspondence,erode,immense
,,,,percentage,,unacceptable,,fence,,ultimate,,Correspondent,err,imminent
,,,,performance,,unbearable,,festival,,unacceptable,,Corridor,erupt,immoral
,,,,performer,,uncertain,,fever,,unbearable,,Corruption,escape,immortal
,,,,perfume,,uncomfortable,,fiber,,uncertain,,Cost,escort,immune
,,,,period,,uncommon,,fiction,,uncomfortable,,Costume,establish,impartial
,,,,permission,,unconscious,,field,,uncommon,,Cottage,esteem,impatient
,,,,person,,unconventional,,fight,,unconscious,,Cotton,estimate,impeccable
,,,,personality,,undeniable,,fighter,,unconventional,,Couch,evacuate,imperial
,,,,personnel,,underneath,,figure,,undeniable,,Council,evade,impersonal
,,,,perspective,,understandable,,file,,underneath,,Councilor,evaluate,impolite
,,,,pet,,underwater,,filling,,understandable,,Counsel,evaporate,implicit
,,,,petrol,,unemployed,,film,,underwater,,Counseling,even,important
,,,,phase,,unexpected,,filter,,unemployed,,Counselor,evoke,imposing
,,,,phenomenon,,unfair,,final,,unexpected,,Count,evolve,impossible
,,,,philosophy,,unfortunate,,finance,,unfair,,Counter,exacerbate,impressive
,,,,phone,,unhappy,,finding,,unfortunate,,Counterpart,exaggerate,improbable
,,,,photo,,unhealthy,,fine,,unhappy,,Country,exalt,improper
,,,,photograph,,uniform,,finger,,unhealthy,,Countryside,examine,improved
,,,,photographer,,unique,,finish,,uniform,,County,exasperate,imprudent
,,,,photography,,united,,fire,,unique,,Couple,excavate,impulsive
,,,,phrase,,universal,,fireplace,,united,,Coupon,exceed,inaccurate
,,,,physics,,unknown,,firm,,universal,,Courage,excel,inactive
,,,,piano,,unlucky,,fish,,unknown,,Course,exchange,inadequate
,,,,pick,,unnatural,,fisherman,,unlucky,,Court,excite,inadvertent
,,,,picture,,unpleasant,,fishing,,unnatural,,Courtesy,exclaim,inappropriate
,,,,piece,,unpopular,,fitness,,unpleasant,,Cousin,exclude,inarticulate
,,,,pig,,unpredictable,,flame,,unpopular,,Cover,excuse,inborn
,,,,pile,,unprepared,,flash,,unpredictable,,Coverage,execute,incapable
,,,,pill,,unproductive,,flat,,unprepared,,Cow,exemplify,incidental
,,,,pilot,,unreasonable,,flavor,,unproductive,,Crack,exempt,inclined
,,,,pin,,unsafe,,fleet,,unreasonable,,Cradle,exercise,inclusive
,,,,pink,,unsatisfactory,,flesh,,unsafe,,Craft,exert,incoherent
,,,,pipe,,unsatisfied,,flexibility,,unsatisfactory,,Crane,exhale,incompetent
,,,,pitch,,unseen,,flight,,unsatisfied,,Crash,exhaust,incomplete
,,,,place,,unskilled,,flood,,unseen,,Crate,exhibit,incomprehensible
,,,,plain,,unstable,,floor,,unskilled,,Crawler,exhilarate,inconceivable
,,,,plan,,unsteady,,flour,,unstable,,Cream,exile,inconclusive
,,,,planet,,unsuccessful,,flow,,unsteady,,Creation,exist,incongruous
,,,,planning,,unsuitable,,flower,,unsuccessful,,Creative,exit,inconvenient
,,,,plant,,unsure,,fluid,,unsuitable,,Creativity,expand,incorrect
,,,,plastic,,untidy,,fly,,unsure,,Creature,expect,incredible
,,,,plate,,unusual,,focus,,untidy,,Credibility,expedite,incredulous
,,,,platform,,unwilling,,fog,,unusual,,Credit,expel,incremental
,,,,play,,up-to-date,,fold,,unwilling,,Creditor,expend,independent
,,,,player,,upper,,folk,,up-to-date,,Creek,experience,indigenous
,,,,pleasure,,upset,,food,,upper,,Creep,experiment,indignant
,,,,plenty,,urban,,foot,,upset,,Crew,expire,indirect
,,,,plot,,urgent,,football,,urban,,Cricket,explain,indiscreet
,,,,plug,,used,,force,,urgent,,Crime,explicit,individual
,,,,pocket,,useful,,forecast,,used,,Criminal,explode,indoor
,,,,poem,,useless,,forest,,useful,,Crisis,exploit,induced
,,,,poet,,usual,,forever,,useless,,Criterion,explore,industrial
,,,,poetry,,vacant,,form,,usual,,Critic,export,inevitable
,,,,point,,vague,,formation,,vacant,,Criticism,expose,inexcusable
,,,,poison,,valuable,,formula,,vague,,Critique,express,inexpensive
,,,,pole,,vanished,,fortune,,valuable,,Crop,extend,inexperienced
,,,,police,,variable,,forum,,vanished,,Cross,exterminate,infallible
,,,,policeman,,varied,,fossil,,variable,,Crossing,externalize,infamous
,,,,policy,,various,,foundation,,varied,,Crowd,extinguish,infantile
,,,,politeness,,vast,,fountain,,various,,Crown,extract,infectious
,,,,politician,,verbal,,frame,,vast,,Cruelty,extradite,inferior
,,,,politics,,vertical,,framework,,verbal,,Cruise,eye,infinite
,,,,pollution,,very,,franchise,,vertical,,Crumb,face,influential
,,,,pool,,vibrant,,fraud,,very,,Crusade,facilitate,informal
,,,,population,,vicious,,freedom,,vibrant,,Crush,factor,informative
,,,,port,,victorious,,frequency,,vicious,,Crust,fade,ingenious
,,,,position,,violent,,friction,,victorious,,Cry,fail,ingrained
,,,,positive,,virtual,,friend,,violent,,Crystal,faint,inherent
,,,,possession,,visible,,friendship,,virtual,,Cube,fake,inherited
,,,,possibility,,visual,,front,,visible,,Cue,fall,inhibited
,,,,post,,vital,,frontier,,visual,,Cult,falsify,initial
,,,,poster,,vivid,,fruit,,vital,,Cultivation,falter,injured
,,,,pot,,vocal,,fuel,,vivid,,Culture,familiarize,inner
,,,,potato,,vocational,,fulfillment,,vocal,,Cup,fancy,innocent
,,,,potential,,volcanic,,function,,vocational,,Cupboard,farm,innovative
,,,,pound,,voluntary,,fund,,volcanic,,Cure,fascinate,innumerable
,,,,powder,,vulnerable,,fundamental,,voluntary,,Curiosity,fashion,insane
,,,,power,,waiting,,funding,,vulnerable,,Curl,fasten,insecure
,,,,practice,,warm,,funeral,,waiting,,Currency,father,insensitive
,,,,praise,,wasted,,furniture,,warm,,Current,fault,inside
,,,,prayer,,wasteful,,future,,wasted,,Curriculum,favor,insignificant
,,,,preparation,,weak,,gain,,wasteful,,Curse,fear,insistent
,,,,presence,,wealthy,,gallery,,weak,,Curtain,feast,institutional
,,,,present,,weekly,,game,,wealthy,,Curve,feature,instructive
,,,,presentation,,weird,,gap,,weekly,,Custody,federalize,instrumental
,,,,president,,welcome,,garage,,weird,,Custom,feed,insufficient
,,,,press,,well,,garden,,welcome,,Customer,feel,insulting
,,,,pressure,,well-known,,garlic,,well,,Cut,feign,intact
,,,,price,,western,,gas,,well-known,,Cutback,fence,intangible
,,,,pride,,wet,,gate,,western,,Cyber,ferry,integral
,,,,primary,,whole,,gathering,,wet,,Cycle,fetch,intellectual
,,,,prince,,wide,,gear,,whole,,Cylinder,feud,intelligent
,,,,princess,,widespread,,gender,,wide,,Dairy,fiber,intense
,,,,principal,,wild,,gene,,widespread,,Dam,field,intensive
,,,,principle,,willing,,general,,wild,,Damage,fight,intentional
,,,,print,,winning,,generation,,willing,,Danger,figure,interactive
,,,,printer,,wise,,genius,,winning,,Dark,file,intermediate
,,,,printing,,witty,,genre,,wise,,Darkness,fill,internal
,,,,priority,,wonderful,,gentleman,,witty,,Data,filter,international
,,,,prison,,wooden,,geography,,wonderful,,Database,finalize,intimate
,,,,prisoner,,working,,gesture,,wooden,,Date,finance,intolerant
,,,,privacy,,worldwide,,ghost,,working,,Daughter,find,intoxicated
,,,,private,,worried,,giant,,worldwide,,Dawn,fine,intractable
,,,,prize,,worrying,,gift,,worried,,Day,finger,intricate
,,,,problem,,worse,,girl,,worrying,,Daylight,finish,intrinsic
,,,,process,,worst,,girlfriend,,worse,,Dead,fire,intuitive
,,,,produce,,worth,,glass,,worst,,Deadline,firm,invalid
,,,,producer,,worthwhile,,glimpse,,worth,,Deal,fish,invaluable
,,,,product,,worthy,,global,,worthwhile,,Dealer,fit,invisible
,,,,production,,written,,globe,,worthy,,Dealing,fix,involuntary
,,,,profession,,wrong,,glory,,written,,Dean,flag,involved
,,,,professional,,yellow,,glove,,wrong,,Dear,flame,ironic
,,,,professor,,young,,goal,,yellow,,Death,flare,irrational
,,,,profile,,,,gold,,young,,Debate,flash,irregular
,,,,profit,,,,goodness,,,,Debt,flatten,irrelevant
,,,,program,,,,goods,,,,Debtor,flatter,irreparable
,,,,progress,,,,government,,,,Debut,flavor,irresistible
,,,,project,,,,governor,,,,Decade,flee,irresponsible
,,,,promise,,,,grab,,,,Decay,fleet,irritable
,,,,promotion,,,,grace,,,,Deceit,flesh,isolated
,,,,proof,,,,grade,,,,December,flex,itchy
,,,,property,,,,graduate,,,,Decency,flicker,jealous
,,,,proportion,,,,graduation,,,,Deception,flinch,joint
,,,,proposal,,,,grain,,,,Decision,fling,jolly
,,,,prospect,,,,gram,,,,Deck,flip,jovial
,,,,protection,,,,grammar,,,,Declaration,flirt,joyful
,,,,protein,,,,grand,,,,Decline,float,joyous
,,,,protest,,,,grandfather,,,,Decoration,flock,jubilant
,,,,psychology,,,,grandmother,,,,Decree,flood,judicial
,,,,public,,,,grandparent,,,,Dedication,flop,judicious
,,,,publication,,,,grant,,,,Deed,flourish,juicy
,,,,publicity,,,,grape,,,,Deep,flow,junior
,,,,publisher,,,,graphics,,,,Default,flower,just
,,,,publishing,,,,grass,,,,Defeat,fluctuate,justifiable
,,,,pull,,,,gratitude,,,,Defect,flush,justified
,,,,punishment,,,,gravity,,,,Defense,fly,juvenile
,,,,purchase,,,,green,,,,Defendant,foam,keen
,,,,pure,,,,grief,,,,Defender,focus,kind
,,,,purple,,,,grocery,,,,Defiance,fog,kindly
,,,,purpose,,,,ground,,,,Deficiency,fold,kinetic
,,,,push,,,,group,,,,Deficit,follow,knightly
,,,,quality,,,,growth,,,,Definition,fondle,knotted
,,,,quantity,,,,guarantee,,,,Degree,fool,knowing
,,,,quarter,,,,guard,,,,Delay,forbid,laborious
,,,,queen,,,,guess,,,,Delegate,force,lacking
,,,,question,,,,guest,,,,Delegation,forecast,lame
,,,,queue,,,,guidance,,,,Delight,foresee,large
,,,,quiet,,,,guide,,,,Delivery,forestall,lasting
,,,,race,,,,guideline,,,,Demand,forfeit,late
,,,,racing,,,,guilt,,,,Democracy,forge,latent
,,,,radio,,,,guitar,,,,Democrat,forget,lateral
,,,,rail,,,,gum,,,,Demographic,forgive,latter
,,,,railway,,,,gun,,,,Demolition,fork,laudable
,,,,rain,,,,guy,,,,Demonstration,form,lavish
,,,,range,,,,gym,,,,Denial,formalize,lawful
,,,,rank,,,,habit,,,,Density,format,lazy
,,,,rate,,,,habitat,,,,Dentist,formulate,leading
,,,,rating,,,,hair,,,,Department,fortify,lean
,,,,ratio,,,,half,,,,Departure,forward,learned
,,,,reach,,,,hall,,,,Dependence,foster,legal
,,,,reaction,,,,hallway,,,,Dependency,found,legendary
,,,,reader,,,,hand,,,,Deposit,fracture,legitimate
,,,,reading,,,,handful,,,,Depot,frame,leisure
,,,,reality,,,,handle,,,,Depression,free,lengthy
,,,,reason,,,,happiness,,,,Depth,freeze,lenient
,,,,receipt,,,,harbor,,,,Deputy,frequent,lethal
,,,,receiver,,,,hard,,,,Derivation,freshen,level
,,,,reception,,,,hardware,,,,Derivative,friction,liable
,,,,recipe,,,,harm,,,,Descendant,frighten,liberal
,,,,recognition,,,,harvest,,,,Descent,frown,light
,,,,record,,,,hat,,,,Description,frustrate,likely
,,,,recording,,,,hate,,,,Desert,fry,limited
,,,,recovery,,,,hazard,,,,Design,fuel,linear
,,,,recreation,,,,head,,,,Designation,fulfill,linguistic
,,,,reduction,,,,headache,,,,Designer,function,liquid
,,,,reference,,,,headline,,,,Desire,fund,literal
,,,,reflection,,,,headquarters,,,,Desk,furnish,literary
,,,,reform,,,,health,,,,Desktop,furrow,little
,,,,refrigerator,,,,healthcare,,,,Despair,further,live
,,,,region,,,,heart,,,,Destination,gain,lively
,,,,register,,,,heat,,,,Destiny,gamble,local
,,,,registration,,,,heaven,,,,Destruction,garden,logical
,,,,regret,,,,heavy,,,,Detail,garner,lonely
,,,,regular,,,,height,,,,Detection,gasp,long
,,,,regulation,,,,helicopter,,,,Detective,gate,loose
,,,,relation,,,,hell,,,,Detector,gather,lost
,,,,relationship,,,,hello,,,,Detention,gaze,loud
,,,,relative,,,,helmet,,,,Determination,gear,lovable
,,,,relief,,,,help,,,,Determinant,generalize,lovely
,,,,religion,,,,helper,,,,Developer,generate,low
,,,,remainder,,,,herb,,,,Development,gesture,loyal
,,,,remains,,,,heritage,,,,Device,get,lucid
,,,,remark,,,,hero,,,,Devil,giggle,lucky
,,,,remedy,,,,hesitation,,,,Devotion,give,lucrative
,,,,remote,,,,high,,,,Diabetes,glance,ludicrous
,,,,removal,,,,highlight,,,,Diagnosis,glare,lukewarm
,,,,rent,,,,highway,,,,Diagram,glass,luminous
,,,,repair,,,,hill,,,,Dial,glaze,lunar
,,,,replacement,,,,hip,,,,Dialect,gleam,lush
,,,,reply,,,,hire,,,,Dialogue,glide,lustful
,,,,report,,,,historian,,,,Diamond,glimpse,luxury
,,,,reporter,,,,history,,,,Diary,glisten,lyrical
,,,,representation,,,,hit,,,,Dictator,glitter,mad
,,,,representative,,,,hobby,,,,Dictionary,glorify,magic
,,,,republic,,,,hockey,,,,Diet,gloss,magical
,,,,reputation,,,,hole,,,,Difference,glow,magnetic
,,,,request,,,,holiday,,,,Difficulty,glue,magnificent
,,,,requirement,,,,home,,,,Dignity,go,maiden
,,,,rescue,,,,homeland,,,,Dilemma,govern,main
,,,,research,,,,homelessness,,,,Dimension,grab,majestic
,,,,researcher,,,,honesty,,,,Dinner,grace,major
,,,,reservation,,,,honey,,,,Diocese,grade,male
,,,,reserve,,,,honor,,,,Dioxide,graduate,malicious
,,,,residence,,,,hope,,,,Dip,grant,malignant
,,,,resident,,,,horizon,,,,Diploma,grasp,manageable
,,,,resign,,,,horror,,,,Diplomacy,gratify,mandatory
,,,,resignation,,,,horse,,,,Diplomat,graze,manifest
,,,,resistance,,,,hospital,,,,Direction,grease,manifold
,,,,resolution,,,,host,,,,Directive,greet,manual
,,,,resort,,,,hot,,,,Director,grieve,manufacturing
,,,,resource,,,,hotel,,,,Directory,grill,marginal
,,,,respect,,,,hour,,,,Dirt,grin,marine
,,,,response,,,,house,,,,Disability,grind,marital
,,,,responsibility,,,,household,,,,Disadvantage,grip,marked
,,,,rest,,,,housing,,,,Disagreement,groan,married
,,,,restaurant,,,,human,,,,Disappointment,grope,martial
,,,,restoration,,,,humanity,,,,Disaster,ground,marvelous
,,,,result,,,,humor,,,,Disc,group,masculine
,,,,retirement,,,,hunger,,,,Discard,grow,mass
,,,,return,,,,hunting,,,,Discharge,growl,massive
,,,,reveal,,,,hurry,,,,Disciple,guarantee,master
,,,,reverse,,,,husband,,,,Discipline,guard,masterful
,,,,review,,,,hypothesis,,,,Disclosure,guess,material
,,,,revision,,,,ice,,,,Discount,guide,maternal
,,,,revolution,,,,idea,,,,Discourse,gulp,mathematical
,,,,reward,,,,ideal,,,,Discovery,gush,mature
,,,,rhythm,,,,identification,,,,Discretion,habituate,maximal
,,,,rice,,,,identity,,,,Discrimination,hack,meager
,,,,richness,,,,ideology,,,,Discussion,hail,mean
,,,,ride,,,,idol,,,,Disease,halt,meaningful
,,,,rider,,,,illness,,,,Disgrace,hammer,meaningless
,,,,riding,,,,illusion,,,,Disguise,hamper,measured
,,,,right,,,,image,,,,Disgust,hand,mechanical
,,,,ring,,,,imagination,,,,Dish,handicap,medical
,,,,rise,,,,immigrant,,,,Disk,handle,medicinal
,,,,risk,,,,immigration,,,,Dislike,hang,medieval
,,,,rival,,,,impact,,,,Dismay,happen,mediocre
,,,,river,,,,implement,,,,Dismissal,harass,meditative
,,,,road,,,,implementation,,,,Disorder,harbor,medium
,,,,robot,,,,implication,,,,Disparity,harm,melancholic
,,,,rock,,,,importance,,,,Display,harness,mellow
,,,,rocket,,,,import,,,,Disposal,harvest,melodic
,,,,role,,,,impression,,,,Disposition,hasten,memorable
,,,,roll,,,,imprisonment,,,,Dispute,hatch,menial
,,,,romance,,,,improvement,,,,Disruption,hate,mental
,,,,roof,,,,incentive,,,,Dissatisfaction,haul,mercantile
,,,,room,,,,inch,,,,Distance,haunt,merciful
,,,,root,,,,incidence,,,,Distinction,have,mere
,,,,rope,,,,incident,,,,Distortion,hazard,merry
,,,,rough,,,,income,,,,Distraction,head,metabolic
,,,,round,,,,increase,,,,Distress,heal,metallic
,,,,route,,,,independence,,,,Distribution,heap,metaphysical
,,,,routine,,,,index,,,,Distributor,hear,methodical
,,,,row,,,,indication,,,,District,hearten,metric
,,,,royal,,,,indicator,,,,Distrust,heat,microscopic
,,,,rubber,,,,individual,,,,Disturbance,heave,middle
,,,,rubbish,,,,industry,,,,Diversity,heighten,mighty
,,,,rule,,,,infant,,,,Dividend,help,migrant
,,,,ruler,,,,infection,,,,Division,herald,mild
,,,,run,,,,inflation,,,,Divorce,hesitate,military
,,,,runner,,,,influence,,,,Dock,hide,mindful
,,,,running,,,,information,,,,Doctor,highlight,minimal
,,,,rural,,,,infrastructure,,,,Doctrine,hijack,minor
,,,,rush,,,,ingredient,,,,Document,hinder,minute
,,,,sack,,,,inhabitant,,,,Documentary,hint,miraculous
,,,,sadness,,,,initial,,,,Documentation,hire,miserable
,,,,safe,,,,initiative,,,,Dog,hit,misled
,,,,safety,,,,injection,,,,Dollar,hitch,missing
,,,,sail,,,,injury,,,,Domain,hoard,mistaken
,,,,sailing,,,,ink,,,,Dome,hold,misty
,,,,sailor,,,,innovation,,,,Dominance,hollow,mixed
,,,,saint,,,,input,,,,Donation,honor,mobile
,,,,salad,,,,inquiry,,,,Donor,hook,moderate
,,,,salary,,,,insect,,,,Doom,hop,modern
,,,,sale,,,,inside,,,,Door,hope,modest
,,,,salt,,,,insight,,,,Doorway,horrify,moist
,,,,sample,,,,insistence,,,,Dose,host,molecular
,,,,sand,,,,inspection,,,,Dot,house,momentary
,,,,sandwich,,,,inspector,,,,Double,hover,momentous
,,,,satellite,,,,inspiration,,,,Doubt,howl,monetary
,,,,satisfaction,,,,installation,,,,Down,hug,monoclonal
,,,,sauce,,,,instance,,,,Download,hum,monotonous
,,,,sausage,,,,instinct,,,,Draft,humble,monstrous
,,,,savings,,,,institute,,,,Drag,humiliate,monthly
,,,,scale,,,,institution,,,,Drain,hunt,monumental
,,,,scandal,,,,instruction,,,,Drainage,hurl,moody
,,,,scar,,,,instructor,,,,Drama,hurry,moral
,,,,scare,,,,instrument,,,,Draught,hurt,morbid
,,,,scene,,,,insurance,,,,Drawing,hush,more
,,,,schedule,,,,intake,,,,Dream,hustle,mortal
,,,,scheme,,,,integration,,,,Dress,hypothesize,most
,,,,scholar,,,,integrity,,,,Drift,idealize,motherly
,,,,scholarship,,,,intellect,,,,Drill,identify,motionless
,,,,school,,,,intelligence,,,,Drink,ignite,motivated
,,,,schooling,,,,intensity,,,,Driver,ignore,mounting
,,,,science,,,,intention,,,,Driving,illuminate,mournful
,,,,scientist,,,,interaction,,,,Drop,illustrate,movable
,,,,score,,,,interest,,,,Drought,imagine,moving
,,,,scratch,,,,interface,,,,Drug,imbibe,mud
,,,,scream,,,,interior,,,,Drum,imitate,muffled
,,,,screen,,,,intermediate,,,,Drunk,immerse,multiple
,,,,script,,,,internal,,,,Dry,immigrate,mundane
,,,,sea,,,,internet,,,,Dual,impair,municipal
,,,,seal,,,,interpretation,,,,Duck,impart,muscular
,,,,search,,,,interruption,,,,Due,impeach,musical
,,,,season,,,,interval,,,,Duke,impede,mute
,,,,seat,,,,intervention,,,,Dump,impel,mutual
,,,,second,,,,interview,,,,Duo,implement,mysterious
,,,,secondary,,,,introduction,,,,Duration,implicate,mystical
,,,,secret,,,,invasion,,,,Dust,imply,mythical
,,,,secretary,,,,invention,,,,Duty,import,naive
,,,,section,,,,inventor,,,,Dwarf,impose,naked
,,,,sector,,,,inventory,,,,Dwelling,impoverish,named
,,,,security,,,,investigation,,,,Dye,impress,narrow
,,,,seed,,,,investigator,,,,Dynamic,imprison,nasty
,,,,selection,,,,investment,,,,Dynamics,improve,national
,,,,self,,,,investor,,,,Dynasty,improvise,nationwide
,,,,seller,,,,invitation,,,,Ear,inaugurate,native
,,,,semester,,,,involvement,,,,Earth,incense,natural
,,,,seminar,,,,iron,,,,Earthquake,incite,nautical
,,,,senate,,,,island,,,,Ease,incline,naval
,,,,senator,,,,isolation,,,,East,include,near
,,,,senior,,,,issue,,,,Echo,incorporate,nearby
,,,,sense,,,,item,,,,Ecology,increase,neat
,,,,sensitivity,,,,jacket,,,,Economics,incubate,necessary
,,,,sentence,,,,jail,,,,Economist,incur,needless
,,,,separation,,,,jam,,,,Economy,index,needy
,,,,sequence,,,,jar,,,,Edge,indicate,negative
,,,,series,,,,jazz,,,,Edition,indict,neglected
,,,,servant,,,,jeans,,,,Editor,induce,negligent
,,,,serve,,,,jewelry,,,,Editorial,indulge,negotiable
,,,,service,,,,job,,,,Education,industrialize,neighboring
,,,,session,,,,joint,,,,Educator,infect,nervous
,,,,set,,,,joke,,,,Effect,infer,net
,,,,setting,,,,journal,,,,Efficiency,infest,neutral
,,,,settlement,,,,journalism,,,,Effort,inflame,new
,,,,shadow,,,,journalist,,,,Egg,inflate,next
,,,,shake,,,,journey,,,,Ego,inflict,nice
,,,,shame,,,,joy,,,,Elbow,influence,nimble
,,,,shape,,,,judge,,,,Election,inform,noble
,,,,share,,,,judgment,,,,Electricity,infringe,nocturnal
,,,,sheep,,,,juice,,,,Electronics,infuriate,noisy
,,,,sheet,,,,jump,,,,Elegant,infuse,nominal
,,,,shelf,,,,junction,,,,Element,ingest,nonexistent
,,,,shell,,,,jungle,,,,Elephant,inhabit,non-profit
,,,,shift,,,,junior,,,,Elevation,inhale,normal
,,,,ship,,,,jurisdiction,,,,Elite,inherit,north
,,,,shirt,,,,juror,,,,Email,inhibit,northern
,,,,shock,,,,jury,,,,Embarrassment,initial,notable
,,,,shoe,,,,justice,,,,Embassy,initiate,noted
,,,,shooting,,,,justification,,,,Emergency,inject,notorious
,,,,shop,,,,keeper,,,,Emergence,injure,novel
,,,,shopping,,,,kettle,,,,Emotion,innovate,noxious
,,,,shore,,,,key,,,,Emphasis,input,nuclear
,,,,short,,,,keyboard,,,,Empire,inquire,numb
,,,,shot,,,,kick,,,,Employee,inscribe,numerical
,,,,shoulder,,,,kidney,,,,Employer,insert,numerous
,,,,shout,,,,kill,,,,Employment,insight,nutritious
,,,,show,,,,killer,,,,Encounter,insinuate,obsessive
,,,,shower,,,,kilogram,,,,Encouragement,insist,obscure
,,,,side,,,,kilometer,,,,End,inspect,observant
,,,,sigh,,,,kind,,,,Endeavor,inspire,obsolete
,,,,sight,,,,king,,,,Ending,install,obstinate
,,,,sign,,,,kingdom,,,,Enemy,instigate,obvious
,,,,signal,,,,kiss,,,,Energy,instill,occasional
,,,,signature,,,,kitchen,,,,Enforcement,institute,occupational
,,,,significance,,,,knee,,,,Engine,instruct,odd
,,,,silence,,,,knife,,,,Engineer,insulate,offensive
,,,,silk,,,,knight,,,,Engineering,insult,official
,,,,silver,,,,knock,,,,Enjoyment,insure,oily
,,,,similarity,,,,knot,,,,Enquiry,integrate,okay
,,,,simple,,,,know,,,,Enterprise,intend,old
,,,,sin,,,,knowledge,,,,Entertainment,intensify,ominous
,,,,singer,,,,lab,,,,Enthusiasm,interact,omnipotent
,,,,singing,,,,label,,,,Enthusiast,intercept,ongoing
,,,,sink,,,,laboratory,,,,Entity,interest,online
,,,,sir,,,,labor,,,,Entrance,interfere,only
,,,,sister,,,,lack,,,,Entry,internalize,opaque
,,,,site,,,,lad,,,,Envelope,interpret,open
,,,,situation,,,,ladder,,,,Environment,interrogate,operational
,,,,size,,,,lady,,,,Episode,interrupt,operative
,,,,skill,,,,lake,,,,Equality,intervene,opinionated
,,,,skin,,,,lamb,,,,Equation,interview,opportunistic
,,,,skirt,,,,lamp,,,,Equipment,intimidate,opposed
,,,,sky,,,,land,,,,Equity,intoxicate,opposing
,,,,slave,,,,landing,,,,Era,intrigue,opposite
,,,,sleep,,,,landscape,,,,Error,introduce,oppressive
,,,,slice,,,,lane,,,,Escape,intrude,optimistic
,,,,slide,,,,language,,,,Essay,inundate,optional
,,,,slope,,,,laptop,,,,Essence,invade,oral
,,,,smell,,,,laser,,,,Establishment,invalidate,orange
,,,,smile,,,,last,,,,Estate,invent,orbital
,,,,smoke,,,,laughter,,,,Estimate,inventory,ordinary
,,,,smoking,,,,launch,,,,Estimation,invest,organic
,,,,snake,,,,laundry,,,,Ethics,investigate,organizational
,,,,snow,,,,law,,,,Ethnicity,invigorate,oriented
,,,,soap,,,,lawyer,,,,Evaluation,invite,original
,,,,soccer,,,,layer,,,,Eve,invoke,ornamental
,,,,society,,,,lead,,,,Evening,involve,orthodox
,,,,sock,,,,leader,,,,Event,iron,other
,,,,soft,,,,leadership,,,,Evidence,irradiate,outdoor
,,,,software,,,,leaf,,,,Evolution,irritate,outer
,,,,soil,,,,league,,,,Exam,isolate,outgoing
,,,,soldier,,,,leak,,,,Examination,issue,outrageous
,,,,solid,,,,lean,,,,Example,itemize,outside
,,,,solution,,,,leap,,,,Exception,jab,outstanding
,,,,son,,,,leather,,,,Excess,jacket,oval
,,,,song,,,,lecture,,,,Exchange,jail,overactive
,,,,sort,,,,lecturer,,,,Excitement,jam,overcast
,,,,soul,,,,legend,,,,Exclusion,jar,overcrowded
,,,,sound,,,,leisure,,,,Excuse,jeer,overdue
,,,,soup,,,,lemon,,,,Execution,jeopardize,overjoyed
,,,,source,,,,length,,,,Executive,jerk,overlooked
,,,,south,,,,lens,,,,Exercise,jettison,overnight
,,,,southern,,,,lesson,,,,Exhibition,jingle,overseas
